C,D,E,A1B1,A1B2,A2B1,A2B2,A3B1,A3B2
1,1,1,0.9331,0.9214,0.8664,0.8729,0.8711,0.8627
1,1,2,0.9253,0.9399,0.8508,0.8711,0.8618,0.8785
1,2,1,0.8472,0.8417,0.7948,0.8305,0.781,0.8009
1,2,2,0.8554,0.8517,0.781,0.7784,0.7887,0.7853
2,1,1,0.9253,0.934,0.8879,0.8729,0.8618,0.8692
2,1,2,0.9301,0.9272,0.8545,0.8536,0.872,0.8674
2,2,1,0.8435,0.8674,0.7879,0.8009,0.7904,0.7793
2,2,2,0.8463,0.8526,0.7784,0.7863,0.7939,0.7844
3,1,1,0.9146,0.9272,0.8769,0.8683,0.8591,0.8683
3,1,2,0.9399,0.9488,0.8739,0.8729,0.8729,0.8481
3,2,1,0.8499,0.8417,0.7893,0.8009,0.7893,0.7904
3,2,2,0.8472,0.83,0.7913,0.7904,0.7956,0.7827
