Run,z1,z2,z3,z4,Yield,PCE
1,1,1,1,1,27.6,43.8
2,-1,-1,1,1,16.6,27.2
3,1,-1,-1,1,15.4,23.6
4,-1,1,-1,1,17.4,26.2
5,1,-1,1,-1,17,27.8
6,-1,1,1,-1,19,30.2
7,1,1,-1,-1,17.4,25.2
8,-1,-1,-1,-1,12.6,18.8
9,1,-1,1,1,18.6,28.8
10,-1,1,1,1,22.4,36.8
11,1,1,-1,1,21.4,33.4
12,-1,-1,-1,1,14,21
13,1,1,1,-1,24,38
14,-1,-1,1,-1,15.6,23.6
15,1,-1,-1,-1,13,20.2
16,-1,1,-1,-1,14.4,22.6
17,0,0,0,0,22.6,
18,2,0,0,0,23.4,
19,-2,0,0,0,20.6,
20,0,2,0,0,22.6,
21,0,-2,0,0,13.4,
22,0,0,2,0,20.6,
23,0,0,-2,0,15.6,
24,0,0,0,2,21,
25,0,0,0,-2,17.6,
